frame,time,x,y,z,vx,vy,ax,ay,yaw,length,width,height,id,type
0,0.0,-84.9998550415039,24.447845458984375,0.29419994354248047,0.0,0.0,0.0,0.0,0.0027785214782865796,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
1,0.1,-84.99976348876953,24.447845458984375,0.047117192298173904,-0.0040730759501457214,-1.1116574569314253e-05,-0.040730759501457214,-0.00011116574751213193,0.0027785214782865796,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
2,0.2,-84.9993896484375,24.44784927368164,-0.08270256221294403,-0.0007388478261418641,-2.492169642209774e-06,0.033342283219099045,8.624405018053949e-05,0.0027785864968678806,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
3,0.3,-84.99925231933594,24.447858810424805,-0.07516307383775711,-0.0006819440750405192,-0.0030439910478889942,0.0005690375110134482,-0.030414987355470657,0.002777023190099085,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
4,0.4,-84.99928283691406,24.447816848754883,-0.04613010212779045,0.0004152916662860662,0.001532793859951198,0.010972357355058193,0.045767851173877716,0.0027772325499308735,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
5,0.5,-84.9994125366211,24.44780158996582,-0.024019813165068626,0.00041739444714039564,0.0016907589742913842,2.1027808543294668e-05,0.0015796511434018612,0.0027779896262915397,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
6,0.6,-84.99951171875,24.447805404663086,-0.01227035466581583,0.0002414038171991706,0.0010382727487012744,-0.0017599062994122505,-0.006524862255901098,0.0027784067855091653,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
7,0.7,-84.95467376708984,24.44793701171875,-0.009899101220071316,0.9852702021598816,0.0032997357193380594,9.850288391113281,0.022614631801843643,0.0027778039332233447,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
8,0.8,-84.81085968017578,24.448341369628906,-0.011285781860351562,1.6807504892349243,0.004933068063110113,6.954802989959717,0.01633332297205925,0.0027799505867035705,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
9,0.9,-84.62074279785156,24.44888687133789,-0.011352348141372204,2.0593152046203613,0.005853287409991026,3.78564715385437,0.009202193468809128,0.002758893148814855,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
10,1.0,-84.40464782714844,24.449499130249023,-0.01061168685555458,2.2698748111724854,0.006396811455488205,2.1055960655212402,0.00543524045497179,0.002733290391944566,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
11,1.1,-84.1624526977539,24.450153350830078,-0.010191917419433594,2.571359395980835,0.0071463072672486305,3.014845848083496,0.007494958117604256,0.002771095836153382,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
12,1.2,-83.88902282714844,24.45091438293457,-0.010113563388586044,2.868567705154419,0.007957592606544495,2.97208309173584,0.008112853392958641,0.0027730123238558033,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
13,1.3,-83.58638763427734,24.45175552368164,-0.010065383277833462,3.1581099033355713,0.008758404292166233,2.8954219818115234,0.008008116856217384,0.00277339801408008,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
14,1.4,-83.25432586669922,24.45267677307129,-0.010053672827780247,3.455639600753784,0.009584365412592888,2.975296974182129,0.008259611204266548,0.0027738110121085023,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
15,1.5,-82.8919448852539,24.453683853149414,-0.010081443935632706,3.7615559101104736,0.010434577241539955,3.0591630935668945,0.008502118289470673,0.0027742632813600302,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
16,1.6,-82.49874114990234,24.45477294921875,-0.010119132697582245,4.071059703826904,0.011295212432742119,3.0950379371643066,0.008606351912021637,0.0027747530013143874,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
17,1.7,-82.07449340820312,24.455949783325195,-0.010149078443646431,4.382133483886719,0.012160779908299446,3.1107378005981445,0.008655674755573273,0.0027752749704850702,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
18,1.8,-81.6191177368164,24.45721435546875,-0.01016868557780981,4.693963050842285,0.013028730638325214,3.118295669555664,0.008679507300257683,0.002775829709020728,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
19,1.9,-81.13253021240234,24.458566665649414,-0.010180473327636719,5.006211757659912,0.013898173347115517,3.1224870681762695,0.008694427087903023,0.002776416436698386,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
