frame,time,x,y,z,vx,vy,ax,ay,yaw,length,width,height,id,type
0,0.0,-90.03046417236328,24.433868408203125,0.29419994354248047,0.0,0.0,0.0,0.0,0.0027785214782865796,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
1,0.1,-90.03038024902344,24.433868408203125,0.04711715504527092,-0.004073177929967642,-1.1613758942985442e-05,-0.04073178023099899,-0.00011613759124884382,0.0027785214782865796,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
2,0.2,-90.0300064086914,24.43387222290039,-0.08270256221294403,-0.0007387289078906178,-2.334167675144272e-06,0.03334449231624603,9.279590449295938e-05,0.0027785867569422055,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
3,0.3,-90.02986907958984,24.433881759643555,-0.07516303658485413,-0.0006821115384809673,-0.0030448799952864647,0.0005661736940965056,-0.030425459146499634,0.0027770224098761093,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
4,0.4,-90.02989959716797,24.433841705322266,-0.046130064874887466,0.00041534798219799995,0.0015329773304983974,0.010974595323204994,0.04577857255935669,0.002777232289856548,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
5,0.5,-90.030029296875,24.433828353881836,-0.024019813165068626,0.0004173695924691856,0.0016908473335206509,2.0216102711856365e-05,0.0015787000302225351,0.0027779893662172143,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
6,0.6,-90.0301284790039,24.43383026123047,-0.01227035466581583,0.00024140794994309545,0.0010382159380242229,-0.0017596164252609015,-0.0065263137221336365,0.00277840704558349,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
7,0.7,-89.98529052734375,24.433961868286133,-0.009899101220071316,0.9852705001831055,0.0032998998649418354,9.85029125213623,0.022616837173700333,0.002777795610844938,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
8,0.8,-89.84146881103516,24.43436622619629,-0.011285781860351562,1.6807514429092407,0.00493298564106226,6.954809188842773,0.016330856829881668,0.0027799547478927736,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
9,0.9,-89.65133666992188,24.43490219116211,-0.011354026384651661,2.0610010623931885,0.005842128302901983,3.8024961948394775,0.009091426618397236,0.0027788699778823517,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
10,1.0,-89.43181610107422,24.43553352355957,-0.010727119632065296,2.3011550903320312,0.0064914938993752,2.4015402793884277,0.00649365596473217,0.0027361114181500435,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
11,1.1,-89.18819427490234,24.43619155883789,-0.010196074843406677,2.5780792236328125,0.007180099841207266,2.7692413330078125,0.006886059418320656,0.002775796159432777,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
12,1.2,-88.9144515991211,24.43695068359375,-0.010066146962344646,2.8699989318847656,0.00797860324382782,2.9191970825195312,0.00798503402620554,0.002778874919294531,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
13,1.3,-88.61180114746094,24.43779182434082,-0.010020675137639046,3.157475233078003,0.008775527589023113,2.874763011932373,0.007969243451952934,0.0027792580087755547,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
14,1.4,-88.27985382080078,24.4387149810791,-0.010024604387581348,3.4541585445404053,0.00960076879709959,2.9668331146240234,0.00825241208076477,0.002779670486655327,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
15,1.5,-87.9176254272461,24.439722061157227,-0.010065917856991291,3.7597615718841553,0.0104517275467515,3.0560302734375,0.008509587496519089,0.00278012301598118,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
16,1.6,-87.52459716796875,24.440919876098633,-0.010111656039953232,4.06915283203125,0.013200514018535614,3.0939126014709473,0.02748786471784115,0.0028615463054927756,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
17,1.7,-87.10054779052734,24.442142486572266,-0.010146026499569416,4.380205154418945,0.012365649454295635,3.110523223876953,-0.008348645642399788,0.0028702725793263136,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
18,1.8,-86.64533996582031,24.443445205688477,-0.010167617350816727,4.692030429840088,0.013420677743852139,3.118252754211426,0.010550282895565033,0.0028631600666806606,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
19,1.9,-86.15897369384766,24.444669723510742,-0.010180129669606686,5.00428581237793,0.011227752082049847,3.122553825378418,-0.02192925661802292,0.0027345970053543863,3.705369472503662,1.788678526878357,1.549050211906433,24,VEHICLE
