frame,time,x,y,z,vx,vy,ax,ay,yaw,length,width,height,id,type
0,0.0,74.69340515136719,-252.13796997070312,0.32786089181900024,0.0,0.0,0.0,0.0,-1.0963926612750319,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
1,0.1,74.69344329833984,-252.13804626464844,0.08075012266635895,-0.0018041133880615234,0.0036686339881271124,-0.018041133880615234,0.03668633848428726,-1.0963933936443317,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
2,0.2,74.69361877441406,-252.1383514404297,-0.04923301562666893,-0.00029489138978533447,0.0006790532497689128,0.015092220157384872,-0.029895808547735214,-1.0963926612750319,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
3,0.3,74.6937026977539,-252.13848876953125,-0.04170192778110504,-0.002939628902822733,-0.0007639777613803744,-0.026447374373674393,-0.01443031057715416,-1.0963937931184953,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
4,0.4,74.69365692138672,-252.13848876953125,-0.012668227776885033,0.001531245419755578,0.0003267240826971829,0.0447087436914444,0.010907018557190895,-1.0963938596975225,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
5,0.5,74.69361114501953,-252.13845825195312,0.009441718459129333,0.0016548739513382316,0.00039092462975531816,0.0012362853158265352,0.0006420054705813527,-1.0963932604862772,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
6,0.6,74.6935806274414,-252.138427734375,0.021190643310546875,0.0010059367632493377,0.0002519513654988259,-0.006489371880888939,-0.0013897325843572617,-1.0963925946960047,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
7,0.7,74.71503448486328,-252.1778106689453,0.0235629640519619,0.4760616719722748,-0.8625553846359253,4.7505574226379395,-8.628073692321777,-1.0955218741776034,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
8,0.8,74.78337860107422,-252.30429077148438,0.022177161648869514,0.8104128241539001,-1.47227144241333,3.3435115814208984,-6.097160339355469,-1.0932623817297529,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
9,0.9,74.87367248535156,-252.4715576171875,0.022109869867563248,0.9918797612190247,-1.8048505783081055,1.8146693706512451,-3.325791358947754,-1.0906901010118726,3.705369472503662,1.788678526878357,1.549050211906433,157,VEHICLE
